L,g,t,s,f9,f10,S11-9,S11-10,Q-3_9,Q-3_10,Q0.5_9,Q0.5_10,delta_f,delta_S11,delta_Q-3,delta_Q0.5
12.55,0.910416667,0.2,1.505,7.95,7.591,-18.834,-18.611,274.137931,271.1071429,92.44186047,92.57317073,-0.359,0.223,-3.030788177,0.131310267
11.5,0.314583333,0.853125,0.92,8.196,7.832,-18.244,-18.027,1024.5,979,341.5,326.3333333,-0.364,0.217,-45.5,-15.16666667
13.425,0.245833333,0.646875,0.56,5.799,5.539,-24.592,-24.355,341.1176471,346.1875,82.84285714,86.546875,-0.26,0.237,5.069852941,3.704017857
14.3,0.75,0.440625,0.965,6.58,6.276,-22.328,-22.048,193.5294118,209.2,55.76271186,57.57798165,-0.304,0.28,15.67058824,1.815269787
10.625,0.383333333,0.578125,1.28,8.865,8.478,-16.879,-16.631,285.9677419,302.7857143,112.2151899,119.4084507,-0.387,0.248,16.81797235,7.193260831
10.275,0.40625,0.26875,1.955,8.348,7.97,-17.958,-17.731,362.9565217,379.5238095,136.852459,139.8245614,-0.378,0.227,16.56728778,2.972102387
11.85,0.520833333,0.371875,1.325,7.495,7.158,-19.881,-19.602,241.7741935,238.6,77.26804124,77.80434783,-0.337,0.279,-3.174193548,0.536306589
12.375,0.54375,0.54375,1.055,7.604,7.247,-19.617,-19.443,253.4666667,268.4074074,82.65217391,87.31325301,-0.357,0.174,14.94074074,4.661079099
9.575,0.291666667,0.6125,1.865,10.001,9.563,-14.683,-14.462,909.1818182,956.3,434.826087,398.4583333,-0.438,0.221,47.11818182,-36.36775362
14.6,0.461904762,0.966071429,1.408571429,6.701,6.394,-21.872,-21.715,744.5555556,799.25,223.3666667,228.3571429,-0.307,0.157,54.69444444,4.99047619
10.5,0.239285714,0.435714286,0.765714286,7.459,7.124,-19.957,-19.756,324.3043478,356.2,105.056338,109.6,-0.335,0.201,31.89565217,4.543661972
14.1,0.671428571,0.455357143,1.228571429,6.528,6.236,-22.351,-22.197,217.6,222.7142857,60.44444444,63.63265306,-0.292,0.154,5.114285714,3.188208617
14.7,0.448809524,0.514285714,1.1,5.498,5.247,-25.52,-25.318,366.5333333,374.7857143,83.3030303,86.01639344,-0.251,0.202,8.252380952,2.71336314
12.2,0.26547619,0.573214286,1.665714286,6.773,6.476,-21.715,-21.514,376.2777778,380.9411765,105.828125,111.6551724,-0.297,0.201,4.663398693,5.827047414
12.5,0.291666667,0.298214286,1.074285714,5.845,5.587,-24.432,-24.182,531.3636364,558.7,132.8409091,136.2682927,-0.258,0.25,27.33636364,3.427383592
9.6,0.317857143,0.533928571,0.2,9.135,8.731,-16.355,-16.135,175.6730769,181.8958333,69.73282443,72.15702479,-0.404,0.22,6.22275641,2.424200366
14.3,0.946428571,0.219642857,1.511428571,6.754,6.447,-21.766,-21.571,217.8709677,230.25,61.4,64.47,-0.307,0.195,12.37903226,3.07
10.3,0.2,0.475,1.254285714,7.752,7.402,-19.257,-19.053,408,389.5789474,131.3898305,132.1785714,-0.35,0.204,-18.42105263,0.78874092
14.8,0.75,0.376785714,0.457142857,5.965,5.694,-24.148,-23.825,198.8333333,196.3448276,49.70833333,51.2972973,-0.271,0.323,-2.488505747,1.588963964
10.1,0.514285714,0.258928571,1.562857143,9.034,8.623,-16.579,-16.324,237.7368421,261.3030303,96.10638298,99.11494253,-0.411,0.255,23.5661882,3.00855955
12.8,0.357142857,0.2,1.177142857,5.731,8.6955,-24.779,-16.085,636.7777778,1086.9375,150.8157895,434.775,2.9645,8.694,450.1597222,283.9592105
11.6,0.226190476,1.044642857,1.382857143,8.145,7.781,-18.389,-18.161,2036.25,1945.25,581.7857143,648.4166667,-0.364,0.228,-91,66.63095238
12.4,0.422619048,0.8875,2,7.926,7.562,-18.876,-18.671,1321,1890.5,528.4,540.1428571,-0.364,0.205,569.5,11.74285714
10.8,0.435714286,0.357142857,0.92,7.936,7.579,-18.858,-18.622,240.4848485,236.84375,80.97959184,82.38043478,-0.357,0.236,-3.641098485,1.400842946
9.5,0.278571429,0.553571429,0.405714286,9.266,8.84,-16.1,-15.882,205.9111111,210.4761905,82.73214286,85.82524272,-0.426,0.218,4.565079365,3.093099861
12.1,0.579761905,0.416071429,0.482857143,7.45,7.124,-20.016,-19.759,165.5555556,165.6744186,52.83687943,53.56390977,-0.326,0.257,0.118863049,0.727030342
13.6,0.527380952,0.239285714,0.277142857,5.613,5.366,-25.184,-24.947,295.4210526,315.6470588,70.1625,71.54666667,-0.247,0.237,20.22600619,1.384166667
14.9,0.723809524,0.710714286,1.28,6.732,6.415,-21.8,-21.621,612,3207.5,85.21518987,86.68918919,-0.317,0.179,2595.5,1.473999316
14.6875,0.772916667,0.236830357,1.292857143,5.927,5.668,-24.187,-23.87,296.35,269.9047619,65.13186813,68.28915663,-0.259,0.317,-26.4452381,3.157288495
11.0625,0.208184524,0.727901786,0.907142857,7.907,7.546,-18.898,-18.725,282.3928571,269.5,91.94186047,94.325,-0.361,0.173,-12.89285714,2.383139535
14.3125,0.249107143,1.243526786,1.742857143,6.716,6.404,-21.355,-21.458,2238.666667,3202,746.2222222,800.5,-0.312,-0.103,963.3333333,54.27777778
14.4375,0.461904762,1.034821429,2,6.902,6.585,-21.343,-21.166,1725.5,1646.25,530.9230769,548.75,-0.317,0.177,-79.25,17.82692308
11.625,0.281845238,0.531473214,1.823214286,7.265,6.938,-20.481,-20.236,363.25,365.1578947,111.7692308,115.6333333,-0.327,0.245,1.907894737,3.864102564
10.125,0.363690476,0.54375,1.035714286,9.174,8.766,-16.266,-16.021,218.4285714,250.4571429,97.59574468,101.9302326,-0.408,0.245,32.02857143,4.334487877
13.8125,0.2,0.703348214,0.698214286,5.565,5.319,-25.304,-25.045,428.0769231,409.1538462,92.75,96.70909091,-0.246,0.259,-18.92307692,3.959090909
14.625,0.290029762,0.9734375,0.794642857,6.073,5.797,-23.713,-23.518,289.1904762,289.85,74.06097561,77.29333333,-0.276,0.195,0.65952381,3.232357724
10.25,0.224553571,0.212276786,1.164285714,7.072,6.75,-20.922,-20.71,642.9090909,675,202.0571429,204.5454545,-0.322,0.212,32.09090909,2.488311688
14,0.511011905,0.506919643,0.939285714,6.088,5.816,-23.672,-23.471,253.6666667,276.952381,66.17391304,68.42352941,-0.272,0.201,23.28571429,2.249616368
13.3125,0.723809524,0.298214286,1.694642857,7.691,6.652,-19.413,-20.945,178.8604651,229.3793103,58.70992366,68.57731959,-1.039,-1.532,50.51884523,9.867395924
12.9375,0.298214286,0.641964286,1.678571429,6.55,6.259,-22.365,-22.088,344.7368421,347.7222222,94.92753623,99.34920635,-0.291,0.277,2.985380117,4.421670117
13.25,0.380059524,0.408705357,0.730357143,5.576,5.316,-25.217,-25.141,428.9230769,408.9230769,101.3818182,102.2307692,-0.26,0.076,-20,0.848951049
10.9375,0.420982143,0.335044643,1.871428571,7.911,7.573,-18.896,-18.639,329.625,344.2272727,113.0142857,116.5076923,-0.338,0.257,14.60227273,3.493406593
12.8125,0.429166667,0.433258929,0.617857143,6.318,6.037,-22.95,-22.786,263.25,274.4090909,67.93548387,72.73493976,-0.281,0.164,11.15909091,4.799455888
14.25,0.388244048,0.715625,1.775,6.187,5.907,-23.381,-23.127,325.6315789,369.1875,85.93055556,89.5,-0.28,0.254,43.55592105,3.569444444
12.625,0.240922619,1.1453125,1.325,7.477,7.137,-19.898,-19.636,1869.25,1784.25,575.1538462,549,-0.34,0.262,-85,-26.15384615
